product_category_name_english,2017_sales,2018_sales,absolute_growth,percentage_growth
health_beauty,247457.9499999956,770002.8100000143,522544.86000001867,211.1651131030658
watches_gifts,206284.43999999913,708305.9500000093,502021.51000001014,243.36373116654474
sports_leisure,224596.74999999622,530182.18000001,305585.43000001373,136.05959569763093
computers_accessories,219638.6799999968,502432.0900000102,282793.4100000134,128.75391984691294
bed_bath_table,259621.23999999254,537514.1300000185,277892.890000026,107.03781015761034
housewares,131132.60999999908,397688.0600000032,266555.45000000414,203.27167285086904
auto,128278.05999999978,346632.4399999995,218354.3799999997,170.2195839257314
furniture_decor,180301.13999999632,385312.0100000066,205010.87000001027,113.70469981499531
baby,70328.57000000017,256086.6999999962,185758.12999999605,264.12897347407403
construction_tools_construction,3511.49,124349.40999999993,120837.91999999993,3441.2149828135616
telephony,60745.01999999988,179751.539999998,119006.51999999813,195.91156608393305
stationery,37276.56000000016,135468.71999999884,98192.15999999868,263.4152936858934
pet_shop,49750.290000000125,128053.23999999948,78302.94999999936,157.39194686101158
home_appliances_2,12470.819999999994,86902.85999999993,74432.03999999994,596.8496057195915
electronics,29614.230000000087,101000.38999999878,71386.1599999987,241.0535745822143
garden_tools,143767.88999999876,214518.32999999565,70750.43999999689,49.21157290407301
musical_instruments,37431.40000000003,107746.07999999983,70314.67999999979,187.8494525986197
office_furniture,76897.67000000013,143270.10999999993,66372.4399999998,86.31268021514786
perfumery,123489.56999999964,176944.80999999764,53455.239999998,43.28725089900156
home_construction,6721.449999999997,59057.670000000006,52336.22000000001,778.6447864672062
toys,119703.00999999951,169710.66999999818,50007.659999998665,41.77644321558738
small_appliances_home_oven_and_coffee,180.96,46623.76,46442.8,25664.677276746243
home_appliances,14232.619999999983,56150.41000000009,41917.79000000011,294.5191398351123
agro_industry_and_commerce,4610.739999999998,43351.27000000001,38740.53000000001,840.2236951118482
construction_tools_lights,949.0,35948.52000000006,34999.52000000006,3688.0421496311974
fashion_bags_accessories,38137.630000000194,70182.19000000031,32044.560000000114,84.02346973317417
construction_tools_safety,767.9,31324.22,30556.32,3979.205625732518
industry_commerce_and_business,2356.6299999999997,30573.440000000017,28216.810000000016,1197.3372994487902
audio,7815.339999999996,32960.940000000046,25145.60000000005,321.74671863284345
computers,39448.99,63732.340000000004,24283.350000000006,61.55632881855786
kitchen_dining_laundry_garden_furniture,5399.259999999998,27348.730000000032,21949.470000000034,406.5273759737453
small_appliances,66547.03,87850.95999999999,21303.929999999993,32.013344547457635
cool_stuff,211947.61999999767,230752.40999999762,18804.78999999995,8.87237610877638
consoles_games,46956.320000000065,63775.71000000006,16819.389999999992,35.81922518630074
fixed_telephony,10726.399999999985,27005.390000000032,16278.990000000047,151.76564364558539
drinks,1197.6600000000003,17424.64,16226.98,1354.8903695539632
signaling_and_security,1893.8,17066.24,15172.440000000002,801.1637976555076
books_general_interest,11853.889999999989,26966.09000000009,15112.200000000103,127.48726367462595
food,5403.769999999998,20425.719999999994,15021.949999999997,277.9901809292402
luggage_accessories,51223.310000000325,64023.090000000164,12799.779999999839,24.98819385158779
costruction_tools_garden,5585.989999999996,16774.39,11188.400000000003,200.29394968483675
books_technical,2441.2799999999997,13066.839999999984,10625.559999999983,435.2454450124519
costruction_tools_tools,1532.9,11816.659999999994,10283.759999999995,670.8695935807942
furniture_living_room,23668.79000000003,33632.15000000008,9963.360000000052,42.09492753959978
art,8363.949999999999,14875.849999999977,6511.899999999978,77.85675428475753
food_drink,1270.4000000000003,7696.739999999994,6426.339999999994,505.8517002518886
cine_photo,315.0,6238.459999999997,5923.459999999997,1880.463492063491
air_conditioning,19214.12000000001,24864.960000000025,5650.840000000015,29.40982985429472
christmas_supplies,377.69,5945.899999999998,5568.209999999998,1474.2804945855062
furniture_bedroom,5886.109999999997,11181.169999999998,5295.060000000001,89.95856346551466
books_imported,278.99,3515.8599999999974,3236.869999999997,1160.2100433707292
music,1503.49,4475.959999999999,2972.4699999999993,197.70467379230982
party_supplies,69.9,2621.7900000000013,2551.8900000000012,3650.772532188843
arts_and_craftmanship,151.89000000000001,1662.1200000000001,1510.23,994.2919217855026
furniture_mattress_and_upholstery,1324.08,1819.8,495.72,37.438825448613386
fashion_childrens_clothes,269.9,169.97,-99.92999999999998,-37.024824008892175
la_cuisine,999.99,781.0,-218.99,-21.899218992189915
fashion_underwear_beach,2700.3500000000013,2469.0000000000014,-231.3499999999999,-8.567407928601845
cds_dvds_musicals,360.0,65.0,-295.0,-81.94444444444444
home_comfort_2,493.08,151.09000000000003,-341.98999999999995,-69.35791352316055
fashion_shoes,8978.89999999998,8496.669999999991,-482.22999999998865,-5.370702424573048
fashion_sport,1185.71,369.5,-816.21,-68.83723676109672
home_confort,21863.260000000024,20883.45000000001,-979.8100000000122,-4.481536605245562
fashio_female_clothing,1696.5000000000005,616.6600000000001,-1079.8400000000004,-63.651046271735936
dvds_blu_ray,3012.690000000001,1132.7100000000005,-1879.9800000000005,-62.4020393734503
fashion_male_clothing,4870.870000000001,2301.8700000000003,-2569.0000000000005,-52.742117937863256
tablets_printing_image,5157.75,1267.96,-3889.79,-75.41641219524017
market_place,15190.729999999978,7565.569999999992,-7625.159999999985,-50.196139356041456
diapers_and_hygiene,,1327.8899999999999,,
flowers,,839.5400000000001,,
security_and_services,183.29,,,
